,State,Population
1307,MA,32617
1308,PA,32605
1309,MN,32601
1310,MA,32517
1311,AK,32515
1312,CA,32512
1313,NH,32492
1314,MN,32465
1315,OH,32442
1316,CO,32398
1317,CA,32366
1318,IL,32289
1319,TX,32276
1320,AK,32255
1321,NM,32238
1322,TX,32147
1323,OH,32146
1324,UT,32141
1325,NY,32127
1326,CA,32127
1327,NY,32108
1328,MT,32091
1329,MA,32091
1330,IN,32075
1331,SC,32025
1332,NJ,31977
1333,CA,31970
1334,UT,31965
1335,KY,31946
1336,RI,31931
1337,UT,31909
1338,TN,31907
1339,NJ,31889
1340,GA,31873
1341,CA,31807
1342,ME,31753
1343,WI,31752
1344,IL,31731
1345,FL,31723
1346,NY,31693
1347,NJ,31667
1348,CA,31625
1349,MA,31611
1350,NY,31577
1351,IL,31560
1352,CT,31519
1353,CA,31490
1354,WA,31454
1355,MI,31447
1356,NC,31412
1357,WY,31407
1358,TN,31402
1359,KY,31394
1360,CA,31386
1361,OK,31377
1362,CA,31374
1363,TX,31352
1364,MA,31342
1365,CA,31334
1366,NJ,31330
1367,OH,31322
1368,MI,31309
1369,NC,31291
1370,TX,31265
1371,KY,31180
1372,NC,31159
1373,AL,31125
1374,MO,31103
1375,KY,31093
1376,NJ,31069
1377,CA,31051
1378,NJ,31032
1379,RI,31012
1380,AL,30995
1381,MI,30950
1382,MA,30915
1383,IL,30912
1384,NM,30898
1385,GA,30858
1386,TX,30854
1387,MA,30834
1388,OH,30808
1389,IL,30759
1390,CA,30722
1391,IL,30706
1392,NJ,30681
1393,CA,30657
1394,GA,30629
1395,IN,30603
1396,DE,30601
1397,CT,30536
1398,NY,30496
1399,FL,30467
1400,TN,30431
1401,CO,30411
1402,MA,30379
1403,MI,30375
1404,WV,30347
1405,ID,30346
1406,NY,30345
1407,NC,30261
1408,CA,30218
1409,CT,30215
1410,IL,30176
1411,TX,30174
1412,MO,30167
1413,GA,30164
1414,NJ,30143
1415,FL,30142
1416,AR,30104
1417,NH,30089
1418,MD,30060
1419,IL,30052
1420,NJ,30045
1421,CO,30038
1422,CA,30034
1423,MI,30014
1424,MO,30012
1425,PA,29963
1426,MA,29817
1427,CO,29802
1428,FL,29795
1429,OH,29781
1430,CA,29773
1431,IN,29752
1432,WV,29738
1433,MA,29729
1434,MI,29715
1435,IL,29700
1436,MS,29670
1437,IN,29646
1438,NC,29630
1439,WI,29609
1440,MN,29590
1441,MA,29571
1442,RI,29568
1443,LA,29565
1444,MI,29560
1445,NJ,29556
1446,MA,29550
1447,AR,29537
1448,CA,29518
1449,NJ,29518
1450,CA,29505
1451,CT,29492
1452,AR,29477
1453,MO,29461
1454,IL,29439
1455,OH,29439
1456,NC,29435
1457,TX,29433
1458,AR,29387
1459,NJ,29308
1460,MA,29281
1461,UT,29251
1462,IL,29204
1463,ND,29160
1464,IL,29076
1465,GA,29051
1466,MI,28983
1467,IL,28982
1468,IN,28973
1469,GA,28973
1470,AR,28940
1471,NJ,28886
1472,NY,28856
1473,IL,28846
1474,MA,28835
1475,MI,28812
1476,FL,28794
1477,LA,28781
1478,CT,28733
1479,NY,28712
1480,AL,28711
1481,CA,28701
1482,MA,28692
1483,KY,28676
1484,NJ,28655
1485,PA,28640
1486,MI,28638
1487,MA,28633
1488,MA,28630
1489,MA,28619
1490,NJ,28617
1491,OK,28609
1492,KY,28602
1493,LA,28555
1494,SD,28495
1495,NY,28491
1496,KY,28474
