,City,Population
1013,Brookfield,41464
1014,Bullhead City,41348
1015,Germantown,41333
1016,Delaware,41302
1017,Milton,41296
1018,Lancaster,41275
1019,Pine Bluff,41253
1020,Grove City,41252
1021,Teaneck,41246
1022,Holly Springs,41239
1023,Hallandale Beach,41217
1024,Friendswood,41213
1025,Waxahachie,41140
1026,Bartlett,41105
1027,Reynoldsburg,41076
1028,Covington,40961
1029,Montclair,40921
1030,Manalapan,40905
1031,Woburn,40876
1032,Shelton,40869
1033,Westfield,40834
1034,Annapolis,40812
1035,Chelsea,40787
1036,Culver City,40779
1037,Lake Oswego,40731
1038,Cedar Falls,40713
1039,Duncanville,40706
1040,Valley Stream,40634
1041,Lancaster,40552
1042,Kailua,40514
1043,Hobbs,40508
1044,State College,40501
1045,New Berlin,40451
1046,Hurst,40413
1047,Findlay,40313
1048,DeKalb,40290
1049,Crystal Lake,40269
1050,Lincoln Park,40245
1051,Aventura,40242
1052,Fort Lee,40191
1053,Florence,40184
1054,Weslaco,40160
1055,Norwich,40125
1056,Brighton,40083
1057,Oviedo,40059
1058,Issaquah,40051
1059,Hutchinson,40006
1060,Indian Trail,39997
1061,Wausau,39994
1062,Winslow,39907
1063,Florence,39899
1064,Romeoville,39863
1065,Carol Stream,39854
1066,Grand Blanc,39846
1067,Plant City,39764
1068,Olive Branch,39711
1069,Park Ridge,39656
1070,Streamwood,39577
1071,San Gabriel,39568
1072,Cape Girardeau,39540
1073,Bell Gardens,39501
1074,Quincy,39463
1075,Rexburg,39409
1076,Dover,39403
1077,Keizer,39376
1078,Roy,39306
1079,Mount Juliet,39289
1080,Amherst,39263
1081,Warren,39201
1082,Westerville,39190
1083,Grants Pass,39189
1084,Pittsfield,39147
1085,Braintree,39143
1086,Wheeling,39137
1087,Bettendorf,39102
1088,Vestavia Hills,39102
1089,Royal Palm Beach,38932
1090,Cottage Grove,38839
1091,Phenix City,38816
1092,Spartanburg,38732
1093,La Vergne,38719
1094,Pacifica,38640
1095,Calexico,38633
1096,West Fargo,38626
1097,Lynnwood,38568
1098,Clovis,38567
1099,Menomonee Falls,38527
1100,Apache Junction,38499
1101,Atlantic City,38497
1102,Post Falls,38485
1103,Lebanon,38431
1104,Groton,38411
1105,East Point,38358
1106,Winter Springs,38342
1107,Urbana,38336
1108,Shrewsbury,38325
1109,Muskegon,38318
1110,Rosenberg,38282
1111,Holland,38276
1112,Peachtree City,38244
1113,Owasso,38240
1114,Holyoke,38238
1115,Belleville,38222
1116,Orion,38206
1117,Northglenn,38131
1118,La Puente,38062
1119,Adelanto,38046
1120,Carpentersville,37983
1121,Stanton,37962
1122,Monrovia,37931
1123,Hot Springs,37930
1124,Portage,37926
1125,Tupelo,37923
1126,Montclair,37865
1127,New Albany,37841
1128,Longview,37818
1129,Galloway,37813
1130,Greenfield,37803
1131,Prattville,37781
1132,Pleasant Grove,37726
1133,Rome,37713
1134,Saratoga Springs,37696
1135,Hilton Head Island,37661
1136,Riviera Beach,37604
1137,Oregon City,37572
1138,La Quinta,37558
1139,Hanover Park,37470
1140,Kaneohe,37430
1141,DeLand,37351
1142,Leavenworth,37351
1143,Bartlesville,37290
1144,Martinez,37287
1145,Claremont,37266
1146,Ewing,37264
1147,Lewiston,37121
1148,Monroe,37117
1149,Hilliard,37114
1150,Rock Island,37108
1151,Georgetown,37086
1152,Pennsauken,37074
1153,Natick,37006
1154,Tucker,37005
1155,Richfield,36994
1156,Estero,36939
1157,Muskogee,36878
1158,Wildomar,36875
1159,Trumbull,36827
1160,Franklin,36816
1161,Upper Arlington,36800
1162,Kearns,36723
1163,Independence,36686
1164,Copperas Cove,36670
1165,Beloit,36657
1166,Andover,36569
1167,Oak Creek,36497
1168,Temple City,36494
1169,Merrillville,36444
1170,Cumberland,36405
1171,Chelmsford,36392
1172,Moorpark,36284
1173,Roseville,36254
1174,Texarkana,36193
1175,Dunedin,36068
1176,Calumet City,36033
1177,Midvale,36028
1178,Marion,35999
1179,Farmers Branch,35991
1180,Sun Prairie,35967
1181,Lauderdale Lakes,35954
1182,El Mirage,35805
1183,Inver Grove Heights,35801
1184,West Hollywood,35757
1185,Norristown,35748
1186,Tooele,35742
1187,Gahanna,35726
1188,Richmond,35720
1189,Addison,35702
1190,Coventry,35688
1191,Myrtle Beach,35682
1192,Lake Stevens,35630
1193,Lima,35579
1194,Salisbury,35540
1195,Torrington,35515
1196,Wenatchee,35508
1197,Manhattan Beach,35506
1198,Brunswick,35426
1199,Wildwood,35417
1200,Freehold,35369
1201,Watertown,35329
1202,Greer,35308
1203,San Juan,35294
1204,North Ridgeville,35280
1205,Springville,35268
1206,San Luis,35257
1207,Cedar City,35235
1208,Northbrook,35222
1209,Mount Vernon,35219
1210,San Juan Capistrano,35196
1211,Glastonbury,35159
1212,Midlothian,35125
1213,La Porte,35124
1214,University City,35065
1215,Woodstock,35065
1216,Meridian,35052
1217,Long Beach,35029
1218,Benton,35014
1219,Randolph,34984
1220,Fair Lawn,34927
1221,San Dimas,34924
1222,Hinesville,34891
1223,University Place,34866
1224,Cookeville,34842
1225,Mason,34792
1226,College Park,34740
1227,Del Rio,34673
1228,Parkland,34670
1229,Douglasville,34650
1230,Manitowoc,34626
1231,Plainfield,34625
1232,Pleasant Hill,34613
1233,Oswego,34585
1234,Richmond,34585
1235,Monroe,34562
1236,Goshen,34517
1237,Fairborn,34510
1238,Deer Park,34495
1239,Butte Silver Bow,34494
1240,Stow,34483
1241,Lexington,34454
1242,Orange,34447
1243,Dalton,34417
1244,Cooper City,34401
1245,Holland,34378
1246,McMinnville,34319
1247,Eastpointe,34318
1248,Derry,34317
1249,Socorro,34306
1250,Westlake,34228
1251,Lewiston,34203
1252,Woodridge,34158
1253,Fuquay Varina,34152
1254,Valparaiso,34151
1255,Lufkin,34143
1256,Sahuarita,34134
1257,North Providence,34114
1258,Walla Walla,34060
1259,Gadsden,33945
1260,Leawood,33902
1261,Crown Point,33899
